symbol	net_prop	log_net_prop	DE_RNAseq	vegas_genes	netwas_genes	gwab_genes
EGFR	0.000971256	-6.936920564	0	0	0	1
LTBP1	0.000961576	-6.946937052	0	0	0	0
DCBLD2	0.00095679	-6.951926966	0	0	0	0
FGFR2	0.000946067	-6.963196717	0	0	0	0
ZBTB16	0.000940566	-6.969029256	0	0	0	0
SLC6A2	0.000930131	-6.980184891	0	0	0	0
CALD1	0.000915449	-6.996095372	0	0	0	0
COL1A2	0.000910617	-7.001388129	0	0	0	0
POSTN	0.000898293	-7.01501447	0	0	0	0
SFRP4	0.000890059	-7.024222424	0	0	0	0
TGFB2	0.000887763	-7.026806007	0	0	0	0
TRPM3	0.000853535	-7.066123875	0	0	0	0
ZNF507	0.000848456	-7.072092185	0	0	0	0
SRPX	0.000840435	-7.081590484	0	0	0	0
C1S	0.000833301	-7.090115183	0	0	0	0
DPT	0.000824907	-7.100240339	0	0	0	0
DDR1	0.000803392	-7.126668358	0	0	0	0
LAMB2	0.000792917	-7.139791911	0	0	0	0
ATP2B2	0.000774191	-7.163692195	0	0	0	0
DCN	0.000769996	-7.169124995	0	0	0	0
HSPG2	0.00076783	-7.171942225	0	0	0	0
MCAM	0.000753748	-7.190452258	0	0	0	0
COL18A1	0.000751488	-7.193454664	0	0	0	0
PXDN	0.000740786	-7.20779929	0	0	0	0
COL5A1	0.000739824	-7.209098707	0	0	0	0
NTRK2	0.000728208	-7.224924192	0	0	0	0
FGFR1	0.000727142	-7.226388706	0	0	0	0
ANGPTL2	0.000718203	-7.238758622	0	0	0	0
DCLK1	0.000716211	-7.241535104	0	0	0	0
NRP2	0.000707192	-7.254208145	0	0	0	0
PDE4C	0.00070443	-7.258121455	0	0	0	0
DNAJC4	0.000700271	-7.264043163	0	0	0	0
MMP11	0.000674049	-7.302208404	0	0	0	0
FGF18	0.000660474	-7.322553353	0	0	0	0
THBS1	0.000657335	-7.327316925	0	0	0	0
LAMA2	0.00065667	-7.328328956	0	0	0	0
ITGB4	0.000652823	-7.334204329	0	0	0	0
CACNA1G	0.000632547	-7.365756691	0	0	0	0
AEBP1	0.000616437	-7.391554558	0	0	0	0
HTR2C	0.000614341	-7.394960288	0	0	0	0
ADCY2	0.000611378	-7.399794666	0	0	0	0
MAP2	0.000610588	-7.401088606	0	0	0	0
TAGLN	0.000609653	-7.402620062	0	0	0	0
NID1	0.000609528	-7.402826307	0	0	0	0
CAVIN1	0.000597273	-7.423135817	0	0	0	0
TGFB3	0.000589074	-7.436959174	0	0	0	0
ADGRA2	0.000587738	-7.439228754	0	0	0	0
CYR61	0.00058768	-7.439327822	0	0	0	0
AR	0.000587299	-7.439977016	0	0	0	0
HTRA1	0.000571182	-7.467802956	0	0	0	0
MAP1B	0.000567277	-7.474662388	0	0	1	0
SLIT2	0.000566988	-7.475171582	0	0	0	0
NECTIN1	0.000564523	-7.479529208	0	0	0	0
DDR2	0.000556821	-7.493266892	0	0	0	0
KCNJ5	0.000553365	-7.499493433	0	0	0	0
SALL1	0.000552549	-7.5009676	0	0	0	0
FBLN1	0.000551629	-7.502634641	0	0	0	0
NOTCH3	0.000547886	-7.509443285	0	0	0	0
LAMB1	0.000547696	-7.509789346	0	0	0	0
AGRN	0.000545595	-7.513633841	0	0	0	0
SERPINE2	0.000536542	-7.530365715	0	0	0	0
CAV1	0.000534387	-7.534390652	0	0	0	0
RBPMS	0.00053352	-7.536013702	0	0	0	0
SMAD3	0.000527591	-7.547189362	0	0	0	0
PLAT	0.000522146	-7.557562733	0	0	0	0
POU4F1	0.000522122	-7.557609988	0	0	0	0
MET	0.000518375	-7.564811082	0	0	0	0
JAG1	0.00051693	-7.567602879	0	0	0	0
ITGA2	0.000513733	-7.573806936	0	0	0	0
GLP1R	0.000512688	-7.575843949	0	0	0	0
FN1	0.000512427	-7.576352468	0	0	0	1
CTGF	0.000507349	-7.586311184	0	0	0	0
ALPPL2	0.000504856	-7.591237446	0	0	0	0
CXCL12	0.000503149	-7.594624064	0	0	0	0
TRIM10	0.000502104	-7.59670346	0	0	0	0
MXRA8	0.000501442	-7.598021751	0	0	0	0
DST	0.000497208	-7.606501774	0	0	0	0
IGF1	0.00049679	-7.607342969	0	0	0	0
LPAR1	0.00049416	-7.612650679	0	0	0	0
VEGFA	0.000489748	-7.62162001	0	0	0	0
COL5A2	0.000488651	-7.623861549	0	0	0	0
NRP1	0.000487975	-7.62524617	0	0	0	0
FXYD3	0.000480716	-7.640234487	0	0	0	0
NID2	0.000478959	-7.643894604	0	0	0	0
RBMS3	0.000476263	-7.649539477	0	0	0	0
NUAK1	0.00047027	-7.662203179	0	1	0	0
NPAS2	0.000468409	-7.666168712	0	0	0	0
CDH2	0.000463973	-7.675684445	0	0	0	0
OSMR	0.000463383	-7.676956995	0	0	0	0
FERMT2	0.000461779	-7.68042341	0	0	0	0
OBSL1	0.000461026	-7.682055559	0	0	0	0
KCNMA1	0.000457487	-7.689762096	0	0	0	0
IGF1R	0.000455702	-7.693671927	0	0	0	0
SYDE1	0.000454988	-7.695238944	0	0	0	0
DEPP1	0.000444443	-7.718689037	0	0	0	0
KDELR3	0.00044055	-7.727487598	0	0	0	0
ADAMTS5	0.000438322	-7.732556476	0	0	0	0
PRRX1	0.000437892	-7.733537855	0	0	0	0
EPHA2	0.000436948	-7.735695953	0	0	0	0
MUC3A	0.00043306	-7.744634839	0	0	0	0
TFPI	0.000432898	-7.745008499	0	0	0	0
GFPT2	0.000430873	-7.749697202	0	0	0	0
NCR2	0.000430485	-7.750597468	0	0	0	0
LMNA	0.000426259	-7.760462914	0	0	0	0
PLXDC1	0.000423688	-7.766513357	0	0	0	0
MGP	0.000423107	-7.767885674	0	0	0	0
CDKN1C	0.000422001	-7.77050264	0	0	0	0
BMP2	0.000421992	-7.7705252	0	0	0	0
LOXL1	0.00042107	-7.77271038	0	0	0	0
ITGA7	0.000420126	-7.774956819	0	0	0	0
PDGFB	0.000419656	-7.776074086	0	0	0	0
GNAO1	0.000419284	-7.776962859	0	0	0	0
MATN2	0.000418849	-7.777999815	0	0	0	0
TGFA	0.000417202	-7.781939546	0	0	0	0
COL8A2	0.000414592	-7.788215783	0	0	0	0
TSPY1	0.000413993	-7.789660804	0	0	0	0
LOXL2	0.000412697	-7.792797192	0	0	0	0
HTR6	0.000411123	-7.796619234	0	0	0	0
KLK13	0.000411038	-7.796825022	0	0	0	0
PARVA	0.000407244	-7.806098122	0	0	0	0
IGF2	0.000406973	-7.806762682	0	0	0	0
TBX2	0.000406401	-7.808170538	0	0	0	0
TNC	0.0004061	-7.808910295	0	0	0	0
FAP	0.000405601	-7.81014139	0	0	0	0
EDNRA	0.000404586	-7.812646115	0	0	0	0
RUNX2	0.000403973	-7.814161946	0	0	0	0
BCAN	0.000400649	-7.822425063	0	0	0	0
SGCD	0.000400305	-7.823282772	0	0	0	0
DLX4	0.000398293	-7.82832148	0	0	0	0
GEM	0.00039711	-7.831297764	0	0	0	0
ERBB2	0.000392305	-7.843471758	0	0	0	1
RARB	0.000391011	-7.846775689	0	0	0	0
TPM1	0.000389891	-7.849642087	0	0	0	0
MFAP4	0.000389128	-7.851602923	0	0	0	0
SLIT3	0.000387958	-7.854613705	0	0	0	0
MAP3K10	0.000386455	-7.85849541	0	0	0	0
SERPINH1	0.000381198	-7.872192586	0	0	0	0
PLOD2	0.000379201	-7.877443926	0	0	0	0
RGS6	0.00037881	-7.878474945	0	0	0	0
NNMT	0.000376142	-7.885544098	0	0	0	0
EFS	0.000375584	-7.887027609	0	0	0	0
ABCC8	0.000374971	-7.888661052	0	0	0	0
TPBG	0.000373533	-7.892503684	0	0	0	0
EFNB2	0.000372773	-7.89454078	0	0	0	0
C1orf61	0.000372394	-7.895557109	0	0	0	0
NFIB	0.00036979	-7.902575178	0	0	0	0
ADAM12	0.000369077	-7.904505065	0	0	0	0
IGFBP6	0.000368827	-7.905182555	0	0	0	0
AFF2	0.000366629	-7.911159437	0	0	0	0
CX3CL1	0.000366596	-7.911249634	0	0	0	0
COL7A1	0.000364547	-7.91685375	0	0	0	0
ACTL6B	0.00036446	-7.917094699	0	0	0	0
ADCY1	0.000362123	-7.923526979	0	0	0	0
BMP1	0.000360997	-7.926640885	0	0	0	0
PDLIM7	0.000360948	-7.92677697	0	0	0	0
ARL4C	0.000359506	-7.93077903	0	0	0	0
PLAU	0.000359304	-7.931342381	0	0	0	0
NDRG1	0.000358772	-7.932824781	0	0	0	0
TRIO	0.000357523	-7.936310176	0	0	0	0
NEUROD2	0.000357283	-7.936981289	0	0	0	0
ELF3	0.000357092	-7.937517152	0	0	0	0
PTGIS	0.000356006	-7.940563507	0	0	0	0
HFE	0.000355237	-7.942724048	0	0	0	0
ADGRL1	0.000355225	-7.942760019	0	0	0	0
PKP3	0.000354851	-7.943813403	0	0	0	0
NR2F1	0.000354619	-7.944467254	0	0	0	0
MYO1B	0.000354358	-7.945203484	0	0	0	0
FAM114A1	0.000353698	-7.947067228	0	0	0	0
PLXND1	0.00035268	-7.949948522	0	0	0	0
FGFR3	0.000350716	-7.955534419	0	0	0	0
AKT3	0.000349794	-7.958165752	0	0	0	0
ATN1	0.000348703	-7.961290802	0	0	0	0
COL11A2	0.000348031	-7.963219751	0	0	0	0
CRHR1	0.000346494	-7.967646411	0	0	0	0
SEMA3F	0.000346381	-7.967970578	0	0	0	0
CALCA	0.000345512	-7.97048342	0	0	0	0
JAG2	0.000343756	-7.975578056	0	0	0	0
DLGAP4	0.000343574	-7.976108993	0	0	0	0
HSPA12A	0.000341386	-7.982495345	0	0	0	0
FZD4	0.00034102	-7.983568548	0	0	0	0
PDGFRB	0.000340654	-7.984642264	0	0	0	0
LOX	0.000339903	-7.986851076	0	0	0	0
CAV2	0.000339621	-7.987680806	0	0	0	0
CHST3	0.000339616	-7.987694316	0	0	0	0
ADRA1D	0.000339042	-7.989385587	0	0	0	0
CDH1	0.000337659	-7.993475045	0	0	0	1
FUT6	0.000336109	-7.998075428	0	0	0	0
MAPK8IP2	0.000335975	-7.998472637	0	0	0	0
BMP7	0.000334524	-8.002801209	0	0	0	0
FARP1	0.000333778	-8.005033789	0	0	0	0
COL14A1	0.000333642	-8.005442415	0	0	0	0
CA12	0.000333022	-8.007301967	0	0	0	0
DMWD	0.000332301	-8.00946971	0	0	0	0
C1QL1	0.000331227	-8.012706411	0	0	0	0
ETV1	0.00033	-8.016417704	0	0	0	0
SULF1	0.000329783	-8.017075058	0	0	0	0
RARRES2	0.000329603	-8.017621828	0	0	0	0
ADAMTS1	0.000328058	-8.022321522	0	0	0	0
CD44	0.000326529	-8.026992096	0	0	0	0
LUM	0.000326145	-8.028168251	0	0	0	0
ECM2	0.000324526	-8.03314395	0	0	0	0
NOS1	0.000324409	-8.033505885	0	0	0	0
NOL3	0.000324321	-8.03377647	0	0	0	0
TGFB1I1	0.000324158	-8.034279945	0	0	0	0
ITGB5	0.000323227	-8.037154962	0	0	0	0
AXL	0.0003232	-8.037239409	0	0	0	0
GJC2	0.000322605	-8.039080414	0	0	0	0
LARGE1	0.000322246	-8.04019475	0	0	0	0
EFNB3	0.000320592	-8.04533989	0	0	0	0
PPP1R13L	0.000320156	-8.046703314	0	0	0	0
SELENBP1	0.000319409	-8.049038994	0	0	0	0
SLC7A4	0.000319133	-8.049902328	0	0	0	0
SLC16A2	0.000318703	-8.051252177	0	0	0	0
MYCN	0.000316563	-8.057987565	0	0	0	0
NAV3	0.00031634	-8.058691772	0	0	0	0
HEG1	0.000315084	-8.062672185	0	0	0	0
GATA2	0.000314861	-8.063379853	0	0	0	0
ASCL1	0.000313111	-8.068951774	0	0	0	0
SOX13	0.000311677	-8.073541889	0	0	0	0
THRA	0.000311615	-8.073741142	0	0	0	0
PRELP	0.000311522	-8.074040412	0	0	0	0
WWTR1	0.000310392	-8.077674414	0	0	0	0
SLIT1	0.000308807	-8.082794579	0	0	0	0
MAP3K9	0.000308639	-8.08333794	0	0	0	0
EPHB2	0.000308292	-8.084461788	0	0	0	0
C1R	0.000307254	-8.08783671	0	0	0	0
GADD45B	0.000306981	-8.088725823	0	0	0	0
P2RX6	0.000306015	-8.091875711	0	0	0	0
THY1	0.00030052	-8.10999625	0	0	0	0
ASAP2	0.000300368	-8.110502588	0	0	0	0
ANK2	0.000299193	-8.114421091	0	0	0	0
TFAP2C	0.000298935	-8.115285891	0	0	0	0
RUNX1	0.000298851	-8.115566735	0	0	0	0
GRK2	0.000296729	-8.122692825	0	0	0	0
MYH11	0.000296551	-8.123292292	0	0	0	0
TNFAIP1	0.000294155	-8.131403601	0	0	0	0
MEG3	0.000294138	-8.131461544	0	0	0	0
SOX2	0.000293411	-8.133934969	0	0	0	0
GRB10	0.000292435	-8.137268885	0	0	0	0
BTG1	0.000291155	-8.141655655	0	0	0	0
SPHK1	0.000291154	-8.141657648	0	0	0	0
ESR1	0.00029037	-8.144355147	0	0	0	1
KLF5	0.000290117	-8.145227808	0	0	1	0
TRIM2	0.000287721	-8.15352091	0	0	0	0
SEMA5A	0.000287483	-8.154346152	0	0	0	0
ERBB3	0.000287062	-8.155812342	0	0	0	0
SFTPC	0.000286406	-8.158098682	0	0	0	0
PDGFRL	0.000285484	-8.161325161	0	1	0	0
HAP1	0.000284052	-8.1663522	0	0	0	0
TRIB2	0.000283662	-8.167726314	0	0	0	0
PKP4	0.000283548	-8.168129593	0	0	0	0
SERPINE1	0.000283477	-8.168381102	0	0	0	0
HGF	0.000282918	-8.170354667	0	0	0	0
EDIL3	0.00028249	-8.171868363	0	0	0	0
RAP1GAP	0.000282293	-8.172564079	0	0	0	0
LRRC17	0.000282152	-8.173065977	0	0	0	0
ELN	0.000282048	-8.173432061	0	0	0	0
GRIN1	0.000281612	-8.174979344	0	0	0	1
CHRNA4	0.000281147	-8.176634639	0	0	0	0
NFATC1	0.000280695	-8.178242135	0	0	0	0
TUB	0.00028039	-8.179327972	0	0	0	0
GSK3A	0.000278802	-8.185008383	0	0	0	0
BAIAP2	0.000278726	-8.185279979	0	0	0	0
NRXN3	0.000278667	-8.185492869	0	0	0	0
SNAI2	0.000278033	-8.187770633	0	0	0	0
LTBP4	0.000278015	-8.187836964	0	0	0	0
TNS1	0.000277854	-8.188413771	0	0	0	0
EGR1	0.00027704	-8.191347761	0	0	1	0
NEDD4L	0.000276737	-8.192441775	0	0	0	0
PERP	0.000276223	-8.194300476	0	0	0	0
IGFBP7	0.000275593	-8.196585442	0	0	0	0
NRG1	0.00027538	-8.197357982	0	0	0	0
LRP1	0.000274012	-8.202338195	0	0	0	0
CRYBB3	0.000273849	-8.202934715	0	0	0	0
CELA3A	0.000273749	-8.203299262	0	0	0	0
AGTR1	0.000273015	-8.205985379	0	0	0	0
ID4	0.000272697	-8.20714996	0	0	0	0
PAPPA2	0.000272534	-8.20774793	0	0	0	0
TJP1	0.000272478	-8.207952185	0	0	0	0
FST	0.000272151	-8.209154394	0	0	0	0
TACR1	0.000270293	-8.216004952	0	0	0	0
CADM4	0.000269741	-8.218049206	0	0	0	0
DRD5	0.000269715	-8.218144286	0	0	0	0
PTK7	0.000269697	-8.218212605	0	1	0	0
KMT2A	0.00026953	-8.218829209	0	0	0	0
MYH10	0.00026908	-8.22050051	0	0	0	0
COL13A1	0.000268672	-8.222020848	0	0	0	0
EMX1	0.00026857	-8.222398189	0	0	0	0
PLEC	0.000268392	-8.223061516	0	0	0	0
HTR7	0.000268332	-8.223285212	0	0	0	0
ACAN	0.000267687	-8.225693365	0	0	0	0
HES1	0.000267425	-8.22667048	0	0	0	0
SLC6A8	0.000266373	-8.230612254	0	0	0	0
TLE1	0.000265232	-8.234906385	0	0	0	0
PLCB1	0.000264805	-8.236515115	0	0	0	0
HRH3	0.00026454	-8.237517794	0	0	0	0
NRXN1	0.000260556	-8.252691168	0	0	0	0
CLU	0.000259222	-8.257827414	0	0	0	0
AQP1	0.000258492	-8.260645087	0	0	0	0
COL4A3	0.000257817	-8.263261727	0	0	0	0
PAX2	0.000257031	-8.266314794	0	0	0	0
EDA	0.000256717	-8.267534414	0	0	0	0
NKX3-1	0.000256641	-8.267833715	0	0	1	0
MOXD1	0.000256618	-8.267921254	0	0	0	0
LPP	0.000256603	-8.267980927	0	0	0	0
KLF12	0.000256297	-8.269172185	0	0	0	0
MSX1	0.000256257	-8.269328477	0	0	0	0
AGPAT2	0.000256217	-8.269485895	0	0	0	0
JAK3	0.000255215	-8.273405466	0	0	0	0
AAK1	0.000255136	-8.273712882	0	0	0	0
FRZB	0.000254083	-8.277849065	0	0	0	0
DSC3	0.000253681	-8.279432778	0	0	0	0
DBN1	0.000253306	-8.280911573	0	0	0	0
P4HA2	0.000252665	-8.283445027	0	0	0	0
ARHGEF4	0.000252575	-8.28380038	0	0	0	0
TIAM1	0.00025172	-8.287192334	0	0	0	0
GPRC5C	0.000250503	-8.292038287	0	0	0	0
INF2	0.000250207	-8.293222359	0	0	0	0
ALDOB	0.000249772	-8.2949605	0	0	0	0
CADM3	0.000249548	-8.295857692	0	0	0	0
PAX3	0.000248085	-8.301738662	0	0	0	0
KDM5B	0.00024768	-8.303373008	0	0	0	0
SMAD6	0.00024767	-8.30341379	0	0	0	0
RREB1	0.000247347	-8.304719473	0	0	0	0
SPON1	0.000247248	-8.305120304	0	0	0	0
DIP2C	0.000247166	-8.305448576	0	0	0	0
ALDH7A1	0.000247067	-8.305850436	0	0	0	0
MYO1C	0.000246969	-8.306246486	0	0	0	0
NPR1	0.000246862	-8.30668304	0	0	0	0
RANBP2	0.000246376	-8.308651535	0	0	0	0
TRAF4	0.000246097	-8.309784313	0	0	0	0
PDE4A	0.000245721	-8.311312399	0	0	0	0
FZD6	0.000245683	-8.311469457	0	0	0	0
SLCO2B1	0.000245573	-8.311916597	0	0	0	0
KCNJ8	0.000244818	-8.314996908	0	0	0	0
BCAM	0.00024456	-8.316051642	0	0	0	0
IGFBP4	0.000244373	-8.316813783	0	0	0	0
ACVR1B	0.000244123	-8.317838372	0	0	0	0
IL1R1	0.000243685	-8.319632867	0	0	0	0
PRKCG	0.000242825	-8.323168141	0	0	0	0
PSD3	0.00024267	-8.323807183	0	0	0	0
CXADR	0.000242378	-8.325012678	0	0	0	0
EHD2	0.000242262	-8.325489028	0	0	0	0
HMX1	0.000242157	-8.325924577	0	0	0	0
NREP	0.000241698	-8.327819638	0	0	0	0
PDLIM5	0.000240345	-8.333433675	0	0	0	0
FNDC3B	0.000240302	-8.333614185	0	0	0	0
DOCK9	0.000239778	-8.335795832	0	0	0	0
FLNA	0.000239043	-8.338868954	0	0	0	0
EXT1	0.000239032	-8.338912016	0	0	0	0
WDTC1	0.000239005	-8.339024372	0	0	0	0
PAPSS2	0.000238869	-8.33959521	0	0	0	0
PRDM8	0.000238174	-8.342507744	0	0	0	0
CD24	0.000238033	-8.343101852	0	0	0	0
EPHA3	0.000237799	-8.344084702	0	0	0	0
SLC17A7	0.000237719	-8.34442335	0	0	0	0
MASP2	0.000237701	-8.344498132	0	0	0	0
FZD1	0.000237683	-8.34457284	0	0	0	0
KAT5	0.000237058	-8.347207037	0	0	0	0
CDS1	0.000236615	-8.349076556	0	0	0	0
OLFM1	0.000235917	-8.352031207	0	0	0	0
TIMP1	0.000235309	-8.354609475	0	0	0	0
EPB41L4B	0.000234778	-8.356871978	0	0	0	0
CAPN5	0.000234232	-8.359199977	0	0	0	0
MTHFR	0.000233246	-8.363417384	0	0	0	0
GFAP	0.000232495	-8.366640924	0	0	0	0
DRD2	0.000232376	-8.367153238	0	1	0	0
MAP7	0.000232258	-8.367660748	0	0	0	0
FMOD	0.000231913	-8.369147677	0	0	0	0
SSTR3	0.000231856	-8.369392337	0	0	0	0
NCKIPSD	0.000231507	-8.370900455	0	0	0	0
DNASE1	0.000231194	-8.372251787	0	0	0	0
DHRS3	0.000231184	-8.372298383	0	0	0	0
TCF3	0.000231108	-8.372625254	0	0	0	0
ARHGAP29	0.000230476	-8.375361709	0	0	0	0
TMEM151B	0.000230207	-8.37653235	0	0	0	0
DKK3	0.000229856	-8.378059095	0	0	0	0
RBFOX2	0.000229268	-8.380619123	0	0	0	0
TPD52L1	0.000228942	-8.382042385	0	0	0	0
SEMA4F	0.000228378	-8.384509011	0	0	0	0
PTGER1	0.000228373	-8.384531795	0	0	0	0
HLA-DOA	0.000227327	-8.389120602	0	0	0	0
RND3	0.000227268	-8.389378925	0	0	0	0
PRKCE	0.000226091	-8.394574625	0	0	0	0
STK24	0.000225858	-8.395603286	0	0	0	0
SIM2	0.000225736	-8.396146413	0	0	0	0
SLC30A3	0.000225505	-8.3971688	0	0	0	0
KLK2	0.000225332	-8.397934918	0	0	0	0
BRF1	0.000224752	-8.400510799	0	0	0	0
PKP1	0.000224012	-8.403811552	0	0	0	0
GPM6B	0.000221561	-8.414812458	0	0	0	0
EEF1G	0.000221544	-8.414890245	0	0	0	0
SLC1A7	0.000220718	-8.418625065	0	0	0	0
PTGER3	0.000220393	-8.420096658	0	0	0	0
FEZ1	0.00022	-8.421883214	0	0	0	0
DLG5	0.000219802	-8.422782131	0	0	0	0
BCL2	0.000219689	-8.423297127	0	0	0	0
CDSN	0.000219096	-8.426000142	0	0	0	0
FAM102A	0.000218542	-8.428534197	0	0	0	0
CCND2	0.00021809	-8.430602039	0	0	0	0
DSC2	0.000218074	-8.430675016	0	0	0	0
EFEMP1	0.000217946	-8.431265014	0	0	0	0
ETV5	0.00021769	-8.432438499	0	0	0	0
CACNA1A	0.000217606	-8.4328228	0	0	0	0
COPS6	0.00021717	-8.434829074	0	0	0	0
STAB1	0.000217004	-8.43559475	0	0	0	0
RHO	0.000216873	-8.436197447	0	0	0	0
MAP4	0.000216638	-8.437281908	0	0	0	0
SPARC	0.000216427	-8.438257892	0	0	0	0
PKP2	0.000216226	-8.439188435	0	0	0	0
TTLL5	0.000215942	-8.440502045	0	0	0	0
MYO7A	0.000215297	-8.443491864	0	0	0	0
PML	0.0002152	-8.443944794	0	0	0	0
ATP2B3	0.000215178	-8.444047234	0	0	0	0
DMPK	0.000214444	-8.44746061	0	0	0	0
CLCNKB	0.000214332	-8.447982523	0	0	0	0
PUM2	0.000213968	-8.449682836	0	0	0	0
JUP	0.000212442	-8.456841134	0	0	0	0
TMEM47	0.000212385	-8.457109319	0	0	0	0
SIRPA	0.000212318	-8.457425054	0	0	0	0
ABCA2	0.000212043	-8.458722802	0	0	0	0
GFRA4	0.000211355	-8.461969288	0	0	0	0
PTN	0.000211193	-8.462737744	0	0	0	0
ACHE	0.000210888	-8.46418525	0	0	0	0
EFCC1	0.000210885	-8.464199171	0	0	0	0
KCND3	0.000210782	-8.464687224	0	0	0	0
MUC5AC	0.000209844	-8.469146231	0	0	0	0
ATXN1	0.000208885	-8.473724334	0	0	0	0
LRRN2	0.000208587	-8.475152375	0	0	0	0
PDGFC	0.000208416	-8.475974954	0	0	0	0
